Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Finland,1,7.842,1.446,1.106,0.741,0.691,0.481,0.124
Denmark,2,7.62,1.502,1.108,0.763,0.686,0.485,0.208
Switzerland,3,7.571,1.566,1.079,0.816,0.653,0.413,0.204
Iceland,4,7.554,1.482,1.172,0.772,0.698,0.17,0.293
Netherlands,5,7.464,1.501,1.079,0.753,0.647,0.384,0.302
Norway,6,7.392,1.543,1.108,0.782,0.703,0.427,0.249
Sweden,7,7.363,1.478,1.062,0.763,0.685,0.448,0.244
Luxembourg,8,7.324,1.751,1.003,0.76,0.639,0.353,0.166
New Zealand,9,7.277,1.4,1.094,0.785,0.665,0.445,0.276
Austria,10,7.268,1.492,1.062,0.782,0.64,0.292,0.215
Australia,11,7.183,1.453,1.076,0.801,0.647,0.317,0.291
Israel,12,7.157,1.376,1.074,0.788,0.509,0.119,0.208
Germany,13,7.155,1.48,0.993,0.757,0.6,0.306,0.195
Canada,14,7.103,1.447,1.044,0.798,0.648,0.335,0.246
Ireland,15,7.085,1.644,1.092,0.753,0.606,0.367,0.238
Costa Rica,16,7.069,1.134,0.966,0.722,0.673,0.083,0.105
United Kingdom,17,7.064,1.423,1.062,0.757,0.58,0.306,0.34
Czech Republic,18,6.965,1.37,1.09,0.703,0.58,0.046,0.052
United States,19,6.951,1.533,1.03,0.621,0.554,0.154,0.252
Belgium,20,6.834,1.463,0.998,0.747,0.489,0.187,0.088
France,21,6.69,1.421,1.081,0.804,0.536,0.235,0.092
Bahrain,22,6.647,1.409,0.899,0.662,0.661,0.139,0.246
Malta,23,6.602,1.411,1.055,0.747,0.664,0.183,0.275
Taiwan Province of China,24,6.584,1.48,0.982,0.665,0.49,0.139,0.142
United Arab Emirates,25,6.561,1.555,0.86,0.594,0.67,0.223,0.236
Saudi Arabia,26,6.494,1.435,0.964,0.571,0.603,0.163,0.09
Spain,27,6.491,1.375,1.057,0.826,0.462,0.124,0.135
Italy,28,6.483,1.393,0.94,0.798,0.379,0.047,0.133
Slovenia,29,6.461,1.36,1.093,0.722,0.69,0.085,0.122
Guatemala,30,6.435,0.845,0.79,0.519,0.638,0.105,0.163
Uruguay,31,6.431,1.164,1.042,0.649,0.625,0.223,0.128
Singapore,32,6.377,1.695,1.019,0.897,0.664,0.547,0.176
Kosovo,33,6.372,0.937,0.807,0.483,0.593,0.014,0.356
Slovakia,34,6.331,1.304,1.066,0.653,0.468,0.018,0.107
Brazil,35,6.33,1.028,0.944,0.571,0.514,0.117,0.142
Mexico,36,6.317,1.126,0.83,0.634,0.585,0.089,0.092
Jamaica,37,6.309,0.891,0.932,0.599,0.618,0.035,0.099
Lithuania,38,6.255,1.35,1.065,0.612,0.476,0.073,0.056
Cyprus,39,6.223,1.377,0.765,0.801,0.464,0.061,0.178
Estonia,40,6.189,1.344,1.079,0.64,0.641,0.263,0.119
Panama,41,6.18,1.298,0.976,0.667,0.596,0.053,0.079
Uzbekistan,42,6.179,0.769,1.027,0.528,0.716,0.271,0.391
Chile,43,6.172,1.2,0.946,0.678,0.438,0.07,0.159
Poland,44,6.166,1.309,0.982,0.668,0.558,0.13,0.08
Kazakhstan,45,6.152,1.23,1.103,0.527,0.573,0.132,0.143
Romania,46,6.14,1.275,0.832,0.595,0.564,0.001,0.045
Kuwait,47,6.106,1.461,0.857,0.58,0.591,0.13,0.12
Serbia,48,6.078,1.101,0.924,0.634,0.482,0.066,0.189
El Salvador,49,6.061,0.845,0.675,0.565,0.615,0.16,0.116
Mauritius,50,6.049,1.178,0.996,0.574,0.59,0.096,0.153
Latvia,51,6.032,1.285,1.047,0.587,0.405,0.089,0.082
Colombia,52,6.012,1.021,0.866,0.615,0.554,0.063,0.1
Hungary,53,5.992,1.301,1.083,0.615,0.454,0.04,0.067
Thailand,54,5.985,1.107,0.957,0.596,0.611,0.028,0.375
Nicaragua,55,5.972,0.693,0.904,0.604,0.553,0.176,0.201
Japan,56,5.94,1.389,0.949,0.838,0.504,0.192,0.02
Argentina,57,5.929,1.162,0.98,0.646,0.544,0.067,0.069
Portugal,57,5.929,1.323,0.939,0.76,0.621,0.033,0.029
Honduras,59,5.919,0.703,0.787,0.593,0.578,0.083,0.241
Croatia,60,5.882,1.251,1.039,0.703,0.453,0,0.111
Philippines,61,5.88,0.853,0.828,0.426,0.651,0.126,0.125
South Korea,62,5.845,1.403,0.758,0.801,0.353,0.135,0.134
Peru,63,5.84,0.986,0.833,0.623,0.536,0.031,0.087
Bosnia and Herzegovina,64,5.813,1.032,0.919,0.618,0.395,0.005,0.261
Moldova,65,5.766,0.985,0.888,0.542,0.536,0.013,0.137
Ecuador,66,5.764,0.935,0.806,0.64,0.56,0.062,0.107
Kyrgyzstan,67,5.744,0.665,0.971,0.501,0.673,0.02,0.266
Greece,68,5.723,1.273,0.811,0.76,0.243,0.074,0
Bolivia,69,5.716,0.842,0.782,0.486,0.6,0.064,0.138
Mongolia,70,5.677,0.966,1.065,0.442,0.397,0.053,0.263
Paraguay,71,5.653,0.983,0.97,0.549,0.602,0.037,0.206
Montenegro,72,5.581,1.155,0.891,0.637,0.397,0.081,0.166
Dominican Republic,73,5.545,1.106,0.879,0.555,0.581,0.144,0.101
North Cyprus,74,5.536,1.377,0.806,0.801,0.503,0.2,0.196
Belarus,75,5.534,1.124,1.007,0.56,0.326,0.199,0.07
Russia,76,5.477,1.241,0.992,0.511,0.409,0.06,0.115
Hong Kong S.A.R. of China,76,5.477,1.525,0.841,0.893,0.408,0.342,0.232
Tajikistan,78,5.466,0.508,0.895,0.498,0.548,0.247,0.152
Vietnam,79,5.411,0.817,0.873,0.616,0.679,0.091,0.124
Libya,80,5.41,1.044,0.821,0.435,0.474,0.174,0.131
Malaysia,81,5.384,1.259,0.797,0.587,0.624,0.064,0.27
Indonesia,82,5.345,0.954,0.786,0.433,0.598,0.046,0.541
Congo (Brazzaville),83,5.342,0.518,0.392,0.307,0.381,0.124,0.144
China,84,5.339,1.061,0.785,0.665,0.636,0.117,0.093
Ivory Coast,85,5.306,0.669,0.409,0.052,0.438,0.092,0.177
Armenia,86,5.283,0.996,0.758,0.585,0.54,0.198,0.079
Nepal,87,5.269,0.519,0.702,0.496,0.488,0.135,0.287
Bulgaria,88,5.266,1.181,1.055,0.583,0.494,0.005,0.125
Maldives,89,5.198,1.115,1.015,0.697,0.575,0.073,0.204
Azerbaijan,90,5.171,1.025,0.841,0.541,0.526,0.276,0.043
Cameroon,91,5.142,0.543,0.556,0.159,0.425,0.058,0.205
Senegal,92,5.132,0.518,0.558,0.357,0.381,0.088,0.158
Albania,93,5.117,1.008,0.529,0.646,0.491,0.024,0.168
North Macedonia,94,5.101,1.068,0.772,0.535,0.45,0.022,0.212
Ghana,95,5.088,0.68,0.595,0.287,0.517,0.058,0.268
Niger,96,5.074,0.162,0.402,0.167,0.516,0.157,0.2
Turkmenistan,97,5.066,1.046,1.172,0.439,0.602,0.033,0.366
Gambia,98,5.051,0.367,0.511,0.21,0.384,0.123,0.465
Benin,99,5.045,0.507,0.058,0.196,0.457,0.178,0.166
Laos,100,5.03,0.808,0.598,0.33,0.643,0.179,0.268
Bangladesh,101,5.025,0.635,0.52,0.514,0.603,0.164,0.161
Guinea,102,4.984,0.42,0.399,0.206,0.384,0.111,0.25
South Africa,103,4.956,0.967,0.895,0.265,0.447,0.051,0.144
Turkey,104,4.948,1.26,0.809,0.59,0.236,0.104,0.097
Pakistan,105,4.934,0.637,0.423,0.322,0.418,0.097,0.252
Morocco,106,4.918,0.792,0.219,0.558,0.477,0.088,0.034
Venezuela,107,4.892,0.852,0.897,0.574,0.284,0.072,0.078
Georgia,108,4.891,1.03,0.47,0.498,0.488,0.181,0.032
Algeria,109,4.887,0.946,0.765,0.552,0.119,0.12,0.144
