Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Finland,1,7.809,1.285,1.500,0.961,0.662,0.478,0.160
Denmark,2,7.646,1.327,1.503,0.979,0.665,0.495,0.243
Switzerland,3,7.560,1.391,1.472,1.041,0.629,0.408,0.269
Iceland,4,7.504,1.327,1.548,1.001,0.662,0.145,0.362
Norway,5,7.488,1.424,1.495,1.008,0.670,0.434,0.288
Netherlands,6,7.449,1.339,1.464,0.976,0.614,0.369,0.336
Sweden,7,7.353,1.322,1.433,0.986,0.650,0.442,0.273
New Zealand,8,7.300,1.242,1.487,1.008,0.647,0.461,0.326
Austria,9,7.294,1.317,1.437,1.001,0.603,0.281,0.256
Luxembourg,10,7.238,1.537,1.388,0.986,0.610,0.367,0.196
Canada,11,7.232,1.302,1.435,1.023,0.644,0.352,0.282
Australia,12,7.223,1.310,1.477,1.023,0.622,0.336,0.325
United Kingdom,13,7.165,1.273,1.458,0.976,0.525,0.323,0.373
Israel,14,7.129,1.216,1.403,1.008,0.421,0.100,0.267
Costa Rica,15,7.121,0.981,1.375,0.940,0.645,0.096,0.131
Ireland,16,7.094,1.447,1.471,0.976,0.588,0.373,0.295
Germany,17,7.076,1.314,1.369,0.972,0.564,0.309,0.252
United States,18,6.940,1.374,1.405,0.832,0.535,0.152,0.298
Czech Republic,19,6.911,1.212,1.405,0.895,0.506,0.050,0.046
Belgium,20,6.864,1.296,1.399,0.965,0.500,0.209,0.147
United Arab Emirates,21,6.791,1.431,1.251,0.788,0.653,0.220,0.281
Malta,22,6.773,1.253,1.443,0.972,0.633,0.179,0.341
France,23,6.664,1.268,1.459,1.030,0.514,0.227,0.113
Mexico,24,6.465,1.024,1.226,0.832,0.554,0.083,0.083
Taiwan Province of China,25,6.455,1.327,1.358,0.878,0.449,0.132,0.151
Uruguay,26,6.440,1.071,1.425,0.857,0.594,0.193,0.132
Saudi Arabia,27,6.406,1.334,1.310,0.760,0.548,0.163,0.087
Spain,28,6.401,1.231,1.421,1.051,0.426,0.110,0.165
Guatemala,29,6.399,0.754,1.174,0.706,0.613,0.098,0.171
Italy,30,6.387,1.236,1.347,1.023,0.321,0.040,0.170
Singapore,31,6.377,1.520,1.395,1.138,0.635,0.533,0.219
Brazil,32,6.376,0.953,1.363,0.766,0.483,0.107,0.132
Slovenia,33,6.363,1.209,1.465,0.933,0.647,0.077,0.146
El Salvador,34,6.348,0.749,1.149,0.753,0.524,0.117,0.119
Kosovo,35,6.325,0.840,1.184,0.673,0.557,0.009,0.325
Panama,36,6.305,1.098,1.376,0.879,0.580,0.054,0.097
Slovakia,37,6.281,1.195,1.424,0.853,0.424,0.011,0.117
Uzbekistan,38,6.258,0.697,1.434,0.717,0.693,0.280,0.363
Chile,39,6.228,1.097,1.323,0.889,0.417,0.063,0.156
Bahrain,40,6.227,1.297,1.315,0.839,0.610,0.127,0.287
Lithuania,41,6.215,1.194,1.433,0.795,0.420,0.081,0.054
Trinidad and Tobago,42,6.192,1.168,1.407,0.659,0.553,0.015,0.199
Poland,43,6.186,1.169,1.310,0.868,0.558,0.161,0.063
Colombia,44,6.163,0.932,1.334,0.810,0.527,0.046,0.092
Cyprus,45,6.159,1.213,1.149,1.026,0.459,0.051,0.228
Nicaragua,46,6.137,0.620,1.271,0.803,0.560,0.174,0.213
Romania,47,6.124,1.120,1.194,0.792,0.535,0.001,0.068
Kuwait,48,6.102,1.425,1.245,0.776,0.570,0.113,0.133
Mauritius,49,6.101,1.074,1.396,0.763,0.591,0.084,0.187
Kazakhstan,50,6.058,1.123,1.453,0.699,0.497,0.110,0.154
Estonia,51,6.022,1.192,1.453,0.843,0.577,0.202,0.125
Philippines,52,6.006,0.775,1.245,0.602,0.622,0.130,0.129
